event_id;user_id;revenue;event_date
1;56;932;14.01.2026
2;57;821;03.01.2026
3;80;1128;05.01.2026
4;87;936;01.01.2026
5;88;849;10.01.2026
6;124;1154;14.01.2026
7;127;1055;02.01.2026
8;146;956;11.01.2026
9;162;976;09.01.2026
10;171;1005;01.01.2026
11;172;810;09.01.2026
12;190;1181;07.01.2026
13;339;1038;10.01.2026
14;376;832;06.01.2026
15;388;1112;02.01.2026
16;389;1160;02.01.2026
17;392;1084;11.01.2026
18;412;937;11.01.2026
19;432;1169;05.01.2026
20;438;974;03.01.2026
21;443;934;10.01.2026
22;447;966;07.01.2026
23;494;999;02.01.2026
24;570;1144;02.01.2026
25;580;960;04.01.2026
26;601;837;09.01.2026
27;650;1033;13.01.2026
28;694;915;12.01.2026
29;726;1191;03.01.2026
30;752;1060;03.01.2026
31;786;1167;06.01.2026
32;796;866;10.01.2026
33;815;1190;06.01.2026
34;828;940;08.01.2026
35;852;801;08.01.2026
36;903;877;10.01.2026
37;929;808;07.01.2026
38;962;925;05.01.2026
39;967;968;02.01.2026
40;975;1045;14.01.2026
41;1019;1039;09.01.2026
42;1027;1246;10.01.2026
43;1028;1187;12.01.2026
44;1048;1104;08.01.2026
45;1066;1289;04.01.2026
46;1071;1229;13.01.2026
47;1132;1208;08.01.2026
48;1140;982;09.01.2026
49;1164;1079;05.01.2026
50;1226;920;02.01.2026
51;1227;1188;10.01.2026
52;1253;1209;10.01.2026
53;1258;1074;09.01.2026
54;1267;981;06.01.2026
55;1283;984;14.01.2026
56;1286;987;11.01.2026
57;1296;1057;04.01.2026
58;1297;1175;04.01.2026
59;1300;1101;06.01.2026
60;1362;987;11.01.2026
61;1365;1048;05.01.2026
62;1377;1246;06.01.2026
63;1387;1300;10.01.2026
64;1392;967;13.01.2026
65;1432;1182;03.01.2026
66;1454;1290;09.01.2026
67;1459;1219;12.01.2026
68;1466;977;08.01.2026
69;1486;958;08.01.2026
70;1499;1098;10.01.2026
71;1510;1214;12.01.2026
72;1511;1234;13.01.2026
73;1519;917;01.01.2026
74;1520;975;01.01.2026
75;1531;926;12.01.2026
76;1556;982;10.01.2026
77;1570;1299;12.01.2026
78;1579;1211;01.01.2026
79;1585;1231;02.01.2026
80;1601;915;11.01.2026
81;1620;1205;01.01.2026
82;1657;1216;09.01.2026
83;1687;1258;01.01.2026
84;1697;996;11.01.2026
85;1713;1241;02.01.2026
86;1714;1254;10.01.2026
87;1717;1013;14.01.2026
88;1744;1238;05.01.2026
89;1754;1166;02.01.2026
90;1755;974;11.01.2026
91;1758;1245;14.01.2026
92;1766;1246;10.01.2026
93;1767;1152;05.01.2026
94;1777;1023;06.01.2026
95;1793;928;04.01.2026
96;1800;908;06.01.2026
97;1825;1090;14.01.2026
98;1838;1098;11.01.2026
99;1864;1008;08.01.2026
100;1867;961;04.01.2026
101;1892;989;10.01.2026
102;1896;1125;07.01.2026
103;1905;1142;12.01.2026
104;1920;993;09.01.2026
105;1933;1203;04.01.2026
106;1939;993;06.01.2026
