user_id,group,revenue_total,converted
1,A,0,0
2,A,0,0
3,A,0,0
4,A,0,0
5,A,2629,1
6,A,0,0
7,A,0,0
8,A,0,0
9,A,0,0
10,A,0,0
11,A,0,0
12,A,0,0
13,A,0,0
14,A,2932,1
15,A,0,0
16,A,0,0
17,A,0,0
18,A,0,0
19,A,0,0
20,A,0,0
21,A,0,0
22,A,0,0
23,A,0,0
24,A,0,0
25,A,0,0
26,A,0,0
27,A,0,0
28,A,0,0
29,A,0,0
30,A,0,0
31,A,0,0
32,A,0,0
33,A,2873,1
34,A,0,0
35,A,0,0
36,A,0,0
37,A,0,0
38,A,0,0
39,A,0,0
40,A,0,0
41,A,0,0
42,A,0,0
43,A,0,0
44,A,0,0
45,A,0,0
46,A,0,0
47,A,0,0
48,A,0,0
49,A,1781,1
50,A,1946,1
51,A,2854,1
52,A,0,0
53,A,0,0
54,A,0,0
55,A,0,0
56,A,932,1
57,A,821,1
58,A,0,0
59,A,0,0
60,A,0,0
61,A,0,0
62,A,0,0
63,A,0,0
64,A,0,0
65,A,0,0
66,A,0,0
67,A,0,0
68,A,3022,1
69,A,0,0
70,A,0,0
71,A,2855,1
72,A,0,0
73,A,0,0
74,A,0,0
75,A,0,0
76,A,0,0
77,A,0,0
78,A,0,0
79,A,0,0
80,A,1128,1
81,A,0,0
82,A,0,0
83,A,0,0
84,A,0,0
85,A,0,0
86,A,0,0
87,A,936,1
88,A,849,1
89,A,0,0
90,A,0,0
91,A,0,0
92,A,0,0
93,A,0,0
94,A,0,0
95,A,0,0
96,A,2271,1
97,A,0,0
98,A,0,0
99,A,0,0
100,A,0,0
101,A,0,0
102,A,0,0
103,A,0,0
104,A,0,0
105,A,2755,1
106,A,3037,1
107,A,0,0
108,A,0,0
109,A,0,0
110,A,0,0
111,A,0,0
112,A,0,0
113,A,0,0
114,A,2845,1
115,A,0,0
116,A,0,0
117,A,0,0
118,A,0,0
119,A,0,0
120,A,2852,1
121,A,0,0
122,A,0,0
123,A,0,0
124,A,1154,1
125,A,0,0
126,A,0,0
127,A,1055,1
128,A,1977,1
129,A,0,0
130,A,0,0
131,A,0,0
132,A,0,0
133,A,1916,1
134,A,0,0
135,A,2169,1
136,A,0,0
137,A,0,0
138,A,0,0
139,A,0,0
140,A,0,0
141,A,1807,1
142,A,0,0
143,A,0,0
144,A,0,0
145,A,0,0
146,A,956,1
147,A,3201,1
148,A,0,0
149,A,0,0
150,A,0,0
151,A,0,0
152,A,0,0
153,A,0,0
154,A,0,0
155,A,0,0
156,A,0,0
157,A,0,0
158,A,0,0
159,A,0,0
160,A,3053,1
161,A,0,0
162,A,976,1
163,A,0,0
164,A,0,0
165,A,0,0
166,A,0,0
